11	23
23	11
21	41
41	21
35	60
60	35
49	72
72	49
65	91
91	65
12	101
101	12
27	103
103	27
68	112
112	68
92	116
116	92
0	118
118	0
112	130
130	112
17	131
131	17
103	133
133	103
146	172
172	146
166	172
172	166
51	178
178	51
55	180
180	55
180	184
184	180
120	188
188	120
69	189
189	69
56	191
191	56
33	197
197	33
14	222
222	14
144	222
222	144
159	226
226	159
56	228
228	56
132	229
229	132
63	233
233	63
116	234
234	116
146	234
234	146
194	241
241	194
45	247
247	45
189	250
250	189
107	251
251	107
95	254
254	95
217	255
255	217
58	256
256	58
247	256
256	247
159	259
259	159
82	276
276	82
120	278
278	120
159	281
281	159
160	289
289	160
184	296
296	184
209	296
296	209
83	309
309	83
126	311
311	126
23	313
313	23
116	315
315	116
156	317
317	156
64	334
334	64
85	337
337	85
111	339
339	111
24	346
346	24
265	346
346	265
334	348
348	334
137	355
355	137
280	356
356	280
131	366
366	131
311	366
366	311
251	372
372	251
86	373
373	86
213	373
373	213
205	374
374	205
214	374
374	214
83	379
379	83
14	380
380	14
57	381
381	57
109	388
388	109
166	392
392	166
256	393
393	256
315	394
394	315
318	394
394	318
357	396
396	357
225	403
403	225
138	404
404	138
265	405
405	265
372	405
405	372
60	411
411	60
299	414
414	299
37	423
423	37
188	423
423	188
215	423
423	215
154	427
427	154
219	427
427	219
247	427
427	247
365	427
427	365
322	432
432	322
9	433
433	9
367	433
433	367
177	438
438	177
250	444
444	250
352	444
444	352
386	444
444	386
70	447
447	70
12	448
448	12
180	452
452	180
197	455
455	197
165	456
456	165
410	462
462	410
47	463
463	47
286	465
465	286
203	468
468	203
224	469
469	224
439	471
471	439
274	473
473	274
318	473
473	318
46	477
477	46
203	481
481	203
82	482
482	82
150	484
484	150
354	485
485	354
376	487
487	376
282	488
488	282
135	489
489	135
154	491
491	154
367	493
493	367
88	495
495	88
128	496
496	128
290	497
497	290
220	501
501	220
119	502
502	119
30	507
507	30
470	507
507	470
261	508
508	261
209	514
514	209
397	514
514	397
103	515
515	103
303	516
516	303
401	516
516	401
133	517
517	133
342	517
517	342
202	523
523	202
429	523
523	429
410	531
531	410
85	532
532	85
290	533
533	290
314	536
536	314
50	537
537	50
223	537
537	223
406	537
537	406
158	546
546	158
386	546
546	386
5	547
547	5
172	547
547	172
257	547
547	257
407	549
549	407
155	552
552	155
183	552
552	183
251	554
554	251
275	559
559	275
41	561
561	41
358	561
561	358
405	561
561	405
243	563
563	243
354	564
564	354
86	568
568	86
227	568
568	227
42	570
570	42
512	570
570	512
385	571
571	385
375	572
572	375
154	574
574	154
147	578
578	147
200	578
578	200
485	581
581	485
491	581
581	491
545	582
582	545
173	583
583	173
374	583
583	374
37	585
585	37
97	586
586	97
97	587
587	97
282	587
587	282
252	588
588	252
360	588
588	360
180	593
593	180
501	593
593	501
510	593
593	510
50	595
595	50
44	598
598	44
229	598
598	229
574	598
598	574
233	603
603	233
489	608
608	489
578	609
609	578
31	610
610	31
413	612
612	413
401	615
615	401
273	616
616	273
400	616
616	400
284	617
617	284
578	617
617	578
437	620
620	437
55	621
621	55
344	626
626	344
501	628
628	501
521	632
632	521
198	638
638	198
554	641
641	554
15	643
643	15
642	643
643	642
461	644
644	461
609	644
644	609
445	645
645	445
462	645
645	462
14	646
646	14
227	646
646	227
103	649
649	103
202	649
649	202
215	651
651	215
300	655
655	300
52	657
657	52
655	658
658	655
559	661
661	559
130	665
665	130
565	666
666	565
70	675
675	70
657	675
675	657
483	679
679	483
191	680
680	191
481	680
680	481
54	682
682	54
26	684
684	26
295	686
686	295
150	687
687	150
676	689
689	676
176	690
690	176
339	691
691	339
500	691
691	500
342	696
696	342
237	700
700	237
45	702
702	45
579	702
702	579
235	703
703	235
432	703
703	432
605	703
703	605
582	704
704	582
183	705
705	183
671	705
705	671
498	706
706	498
212	707
707	212
483	708
708	483
662	708
708	662
58	711
711	58
639	711
711	639
256	716
716	256
512	718
718	512
621	718
718	621
194	722
722	194
586	722
722	586
655	725
725	655
185	727
727	185
200	729
729	200
301	729
729	301
519	732
732	519
278	734
734	278
480	734
734	480
647	734
734	647
166	738
738	166
271	740
740	271
499	741
741	499
470	742
742	470
676	742
742	676
141	743
743	141
104	746
746	104
58	747
747	58
624	747
747	624
247	748
748	247
396	752
752	396
529	752
752	529
469	753
753	469
181	755
755	181
403	758
758	403
284	759
759	284
224	760
760	224
697	760
760	697
21	761
761	21
220	761
761	220
461	761
761	461
280	767
767	280
453	768
768	453
270	769
769	270
686	772
772	686
643	774
774	643
54	775
775	54
210	775
775	210
595	775
775	595
52	776
776	52
256	776
776	256
313	776
776	313
497	776
776	497
371	778
778	371
483	778
778	483
563	778
778	563
55	780
780	55
105	780
780	105
189	780
780	189
389	781
781	389
537	783
783	537
635	783
